Scenario - phase1_bothports
Logfile written - 05/27/2017 20:54:27

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

751	11	Response	2	378488	23	6
751	11	Response	2	380056	1591	6
751	11	Response	2	381874	3409	6
751	11	Response	2	383800	5335	6
751	11	Response	2	386120	7655	6
751	12	Sound	19	416347	0	2			0		other	0
751	12	Response	2	427366	11019	6
751	12	Response	2	428582	12235	6
751	12	Response	2	430032	13685	5
751	12	Response	2	431606	15259	6
751	12	Response	2	433063	16716	6
751	12	Response	2	434757	18410	6
751	12	Response	2	436617	20270	6
751	12	Response	2	438220	21873	7
751	12	Response	2	439978	23631	6
751	12	Response	2	441473	25126	6
751	12	Response	2	443525	27178	6
751	12	Response	2	445030	28683	6
751	12	Response	2	446790	30443	6
751	12	Response	2	448268	31921	6
751	12	Response	2	450455	34108	6
751	13	Sound	19	462092	0	2			0		other	0
751	13	Response	2	464442	2350	6
751	13	Response	2	466538	4446	6
751	13	Response	3	471699	9607	6
751	13	Response	2	473505	11413	6
751	13	Response	3	475010	12918	6
751	13	Response	2	476823	14731	6
751	13	Response	3	516063	53971	6
751	13	Response	3	517689	55597	5
751	14	Sound	19	518805	0	2			0		other	0
751	14	Response	2	519305	500	6
751	14	Response	3	520482	1677	6
751	14	Response	3	521940	3135	6
751	14	Response	2	523516	4711	6
751	14	Response	2	524997	6192	6
751	14	Response	2	526605	7800	6
751	14	Response	2	528240	9435	6
751	14	Response	2	529791	10986	6
751	14	Response	2	533618	14813	7
751	14	Response	3	536689	17884	6
751	14	Response	2	538284	19479	6
751	14	Response	2	539653	20848	6
751	14	Response	2	541639	22834	6
751	14	Response	2	543337	24532	6
751	14	Response	2	545692	26887	4
751	14	Response	2	548296	29491	6
751	14	Response	2	549971	31166	6
751	14	Response	2	552237	33432	6
751	14	Response	2	553672	34867	6
751	14	Response	2	555865	37060	6
751	14	Response	2	577995	59190	6
751	15	Sound	19	596600	0	2			0		other	0
751	15	Response	3	625711	29111	6
751	16	Sound	19	627076	0	2			0		other	0
751	16	Response	3	627186	110	6
751	16	Response	2	628682	1606	6
751	16	Response	2	629838	2762	6
751	16	Response	2	631215	4139	6
751	16	Response	2	632660	5584	5
751	16	Response	3	634717	7641	7
751	16	Response	2	636031	8955	6
751	16	Response	2	637823	10747	6
751	16	Response	2	638954	11878	6
751	16	Response	2	640537	13461	6
751	16	Response	2	642115	15039	7
751	16	Response	2	644058	16982	6
751	16	Response	2	645829	18753	6
751	17	Sound	19	687796	0	2			0		other	0
751	17	Response	2	725615	37819	6
751	17	Response	2	726969	39173	6
751	17	Response	2	728247	40451	6
751	17	Response	2	729522	41726	6
751	17	Response	2	730780	42984	6
751	17	Response	2	732137	44341	6
751	17	Response	2	733618	45822	5
751	17	Response	2	735262	47466	5
751	17	Response	2	737067	49271	6
751	17	Response	2	738287	50491	6
751	17	Response	2	739864	52068	5
751	17	Response	2	741540	53744	4
751	17	Response	2	748230	60434	6
751	18	Sound	19	749043	0	2			0		other	0
751	18	Response	2	763003	13960	6
751	18	Response	2	763161	14118	6
751	18	Response	2	772823	23780	6
751	19	Sound	19	803019	0	3			0		other	0
751	20	Nothing	5	860850	0	1			0		other	0
751	20	Response	3	866086	5236	6
751	20	Response	3	867607	6757	6
751	20	Response	3	869064	8214	5
751	20	Response	3	870286	9436	6
751	21	Sound	0	870863	0	2			0		other	0
751	21	Response	3	871458	595	6
751	23	Nothing	10	872494	0	1			0		false_alarm	250
751	23	Response	3	872722	228	6
751	23	Response	3	873999	1505	6
751	23	Response	3	875176	2682	6
751	23	Response	3	876473	3979	5
751	23	Response	3	877873	5379	5
