Scenario - 2-arm-bandit_RL_task_HW
Logfile written - 06/12/2017 16:06:25

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

752	0	Manual	06/12/2017 13:34:04	-9991	-9991
752	1	Nothing	17	-9721	0	1			0		other	0
752	2	Sound	701	-8721	0	2			0		other	0
752	2	Response	3	7082	15803	1
752	4	Nothing	8	8088	0	1			0		false_alarm	6
752	4	Response	3	8130	42	1
752	4	Response	3	8414	326	1
752	4	Response	3	8581	493	1
752	4	Response	3	8748	660	1
752	4	Response	3	9575	1487	1
752	4	Response	3	9746	1658	1
752	4	Response	3	10748	2660	1
752	4	Response	3	10914	2826	1
752	4	Response	3	11081	2993	1
752	4	Response	2	11693	3605	1
752	4	Response	3	12081	3993	1
752	4	Response	3	12917	4829	1
752	4	Response	3	13080	4992	1
752	4	Response	3	13247	5159	1
752	4	Response	3	14077	5989	1
752	4	Response	3	14246	6158	1
752	4	Response	3	14412	6324	1
752	4	Response	3	15103	7015	1
752	4	Response	3	15243	7155	1
752	4	Response	3	15412	7324	1
752	4	Response	3	15579	7491	2
752	4	Response	3	16290	8202	1
752	4	Response	3	16578	8490	1
752	4	Response	3	16745	8657	2
752	4	Response	3	16912	8824	1
752	4	Response	3	18079	9991	1
752	4	Response	3	18245	10157	1
752	4	Response	3	19123	11035	2
752	4	Response	3	19411	11323	1
752	4	Response	3	19578	11490	1
752	4	Response	3	20431	12343	1
752	4	Response	3	20576	12488	1
752	4	Response	3	20743	12655	1
752	4	Response	3	20911	12823	1
752	4	Response	3	21077	12989	1
752	5	Sound	19	37140	0	2			0		other	0
752	5	Response	2	39736	2596	1
752	5	Response	3	39815	2675	1
752	5	Response	2	39898	2758	1
752	5	Response	3	39982	2842	1
752	5	Response	2	40064	2924	1
752	5	Response	3	40149	3009	1
752	5	Response	2	48559	11419	1
752	5	Response	3	48647	11507	1
752	5	Response	2	48728	11588	1
752	5	Response	3	48814	11674	1
752	5	Response	3	54403	17263	1
752	5	Response	3	54569	17429	1
752	5	Response	3	54736	17596	1
752	5	Response	3	55630	18490	1
752	5	Response	3	55901	18761	1
752	5	Response	3	56068	18928	1
752	5	Response	3	56235	19095	2
752	5	Response	3	57235	20095	1
752	5	Response	3	57401	20261	1
752	5	Response	3	57568	20428	1
752	5	Response	3	58424	21284	1
752	5	Response	3	58565	21425	1
752	5	Response	3	58734	21594	1
752	5	Response	3	58901	21761	1
752	5	Response	3	59067	21927	1
752	5	Response	3	59901	22761	1
752	5	Response	3	60067	22927	1
752	5	Response	3	60234	23094	1
752	5	Response	3	60399	23259	1
752	5	Response	3	60567	23427	1
752	5	Response	3	60734	23594	1
752	5	Response	2	84916	47776	1
752	5	Response	3	84971	47831	1
752	5	Response	2	85053	47913	1
752	5	Response	3	85138	47998	1
752	5	Response	2	85220	48080	1
752	5	Response	3	86391	49251	1
